position;company;comp_link;sal_from;sal_to;sal_curr;sal_tax
Разработчик Python;BrainShells;https://hh.ru/employer/5561311?hhtmFrom=vacancy_search_list;4000;5000;$;на руки
Python-разработчик;Тинькофф;https://hh.ru/employer/78638?hhtmFrom=vacancy_search_list;;;;
Программист-разработчик Python;ООО ГК Иннотех | Финтех (Иннотех);https://hh.ru/employer/4649269?dpt=4649269-4649269-innoteh&hhtmFrom=vacancy_search_list;;;;
Lead Python Developer;ООО СмартЭкоСистема;https://hh.ru/employer/4334437?hhtmFrom=vacancy_search_list;300000;400000;₽;до вычета налогов
Стажер-разработчик Python;START;https://hh.ru/employer/2695526?hhtmFrom=vacancy_search_list;;;;
Python developer;Бюро 1440;https://hh.ru/employer/5266429?hhtmFrom=vacancy_search_list;;;;
Senior Python Developer;ООО Клауд Солюшенс;https://hh.ru/employer/5807475?hhtmFrom=vacancy_search_list;;;;
Python разработчик;ООО БизнесМатика;https://hh.ru/employer/4281077?hhtmFrom=vacancy_search_list;280000;500000;₽;до вычета налогов
Специалист по автоматизации тестирования (Python, Логистика, Претензионная работа);Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy_search_list;;;;
QA Auto Ruby/Python;Selecty;https://hh.ru/employer/2406247?hhtmFrom=vacancy_search_list;;;;
Python Developer;FunFlow (ООО Мобильные Игровые Решения);https://hh.ru/employer/9674611?hhtmFrom=vacancy_search_list;;;;
Разработчик Python;Bell Integrator;https://hh.ru/employer/6189?hhtmFrom=vacancy_search_list;;;;
Стажер-программист Python;ООО Патрес;https://hh.ru/employer/10909561?hhtmFrom=vacancy_search_list;;;;
Middle QA Automation (Python) [SKAI];ПАО «МТС», Digital;https://hh.ru/employer/3776?dpt=mts-3776-it&hhtmFrom=vacancy_search_list;;;;
Старший специалист по автоматизации тестирования Python, Логистика, Платформенная интеграция;Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy_search_list;;;;
